a,a1,a2
c,c1,c2
d,d1,d2
e,e1,e2
f,f1,f2
g,g1
h,h1
i,i1
loc_a,xpath=//input[@id='firstName' and @placeholder='First Name']
loc_b,xpath=//input[@id='lastName' and @placeholder='Last Name']
loc_c,xpath=//input[@id='email' and @placeholder='example@email.com']
loc_d,xpath=//input[@id='city' and @placeholder='City']
loc_e,xpath=//input[@id='postalCode' and @placeholder='Postal Code']
loc_f,xpath=//input[@id='stateProvince' and @placeholder='State or Province']
log_g,xpath=//input[@id='phone']
log_h,xpath=//input[@id='birthdate']
log_i,xpath=//input[@id='street1' and @placeholder='Address 1']
log_k,xpath=//input[@id='street2' and @placeholder='Address 2']
log_m,xpath=//button[@id='submit' and @type='submit' and normalize-space()='Submit']
a & e & valid_url & c & valid_url1,a1 & e1 & urla1 & c1 & urlb1
a & e & valid_url & d & valid_url1,a1 & e1 & urla1 & d1 & urlb1,a2 & e2 & urla2 & d2 & urlb2
e & c,e1 & c1,e2 & c2
e & d,e1 & d1,e2 & d2
a & d,a1 & d1,a2 & d2
a & e,a1 & e1,a2 & e2
